Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.315,0.315,,0.296,,0.611
Benzene,1011655.695,664.795,1010990.9,295.715,,1011951.41
Beryllium & compounds,0.158,0.158,,,,0.158
Cadmium & compounds,0.009,0.009,,1.863,1.573,3.445
Carbon monoxide,9547196.62,39439.23,9507757.39,,,9547196.62
Chromium (III) compounds,3.469,3.469,,2.07,4.72,10.259
Copper & compounds,1.734,1.734,,2.188,6.293,10.215
Cumene (1-methylethylbenzene),13.08,13.08,,,,13.08
Ethylbenzene,254752.519,344.019,254408.5,20.996,,254773.515
Fluoride compounds,69.379,69.379,,,,69.379
n-Hexane,216144.87,4424.77,211720.1,,,216144.87
Hydrogen sulfide,88579.9,,88579.9,,,88579.9
Lead & compounds,1.798,1.798,,1.952,1.573,5.323
Mercury & compounds,68.73,0.05,68.68,,,68.73
Nickel & compounds,2.208,2.208,,2.928,4.72,9.856
Oxides of Nitrogen,2.176464991E7,104233.3,2.166041661E7,,,2.176464991E7
Particulate Matter 10.0 um,306523.77,166275.4,140248.37,,,306523.77
Particulate Matter 2.5 um,144508.667,7991.427,136517.24,,,144508.667
Polycyclic aromatic hydrocarbons (B[a]Peq),4.734,3.526,1.208,,,4.734
Sulfur dioxide,32947.321,17.541,32929.78,,,32947.321
Toluene (methylbenzene),2503708.34,2192.84,2501515.5,443.572,,2504151.912
Total Volatile Organic Compounds,2.567949309E7,194108.59,2.54853845E7,,,2.567949309E7
Xylenes (individual or mixed isomers),1742656.87,3590.17,1739066.7,254.315,,1742911.185
