Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.6188441,0.5179643,0.1008797,,,0.6188441
Benzene,7390.426,1020.158,6370.268,,,7390.426
Beryllium & compounds,0.2595879444,0.2589822,6.057444E-4,,,0.2595879444
Cadmium & compounds,0.5689921,0.014503,0.5544891,,0.1995458,0.7685379
Carbon monoxide,3269248.0,42149.71,3227098.0,,,3269248.0
Chromium (III) compounds,6.1917556,5.697608,0.4941476,,3.404023,9.5957786
Chromium (VI) compounds,0.2117776,,0.2117776,,0.1765703,0.3883479
Copper & compounds,3.2774846,2.848804,0.4286806,,2.046014,5.3234986
Cumene (1-methylethylbenzene),78.32423,78.32423,,,,78.32423
Ethylbenzene,2321.0406,429.5316,1891.509,,,2321.0406
Fluoride compounds,113.9522,113.9522,,,,113.9522
Formaldehyde (methyl aldehyde),18190.93,56.86404,18134.06,,,18190.93
n-Hexane,66595.23,28154.98,38440.24,,,66595.23
Hydrochloric acid,0.0210774,0.0210774,,,,0.0210774
Hydrogen sulfide,0.001108066,0.001108066,,,,0.001108066
Lead & compounds,3.204014,2.952397,0.2516169,,1.822015,5.026029
Mercury & compounds,0.2138083,0.08287429,0.130934,,0.008828513,0.222636813
Nickel & compounds,4.683473,3.62575,1.057723,,7.384946,12.068419
Oxides of Nitrogen,9561434.0,169043.9,9392390.0,,,9561434.0
Particulate Matter 10.0 um,348104.8,271057.3,77047.46,,,348104.8
Particulate Matter 2.5 um,88080.69,12162.05,75918.64,,,88080.69
Polychlorinated dioxins and furans (TEQ),5.670533E-6,,5.670533E-6,,,5.670533E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),6.242113,0.1722749,6.069838,,,6.242113
Sulfur dioxide,70662.73077,45.92077,70616.81,,,70662.73077
Toluene (methylbenzene),8649.673,1616.323,7033.349,,,8649.673
Total Volatile Organic Compounds,1620247.4,280231.4,1340016.0,,,1620247.4
Xylenes (individual or mixed isomers),4870.763,1694.511,3176.252,,,4870.763
