Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.01506,,0.01506
Benzene,3169.64,644.24,2525.4,0.03003,,3169.67003
Beryllium & compounds,,,,2.0E-5,,2.0E-5
Cadmium & compounds,,,,0.09479,,0.09479
Carbon monoxide,582584.43,51297.11,531287.32,,,582584.43
Chromium (III) compounds,,,,0.10532,,0.10532
Copper & compounds,,,,0.11133,,0.11133
Cumene (1-methylethylbenzene),182.83,182.83,,0.017,,182.847
Cyclohexane,3396.97,3396.97,,0.12,,3397.09
Ethylbenzene,2082.18,1179.73,902.45,0.12598,,2082.30598
n-Hexane,36608.91,12810.63,23798.28,0.53561,,36609.44561
Hydrogen sulfide,39101.31,,39101.31,,,39101.31
Lead & compounds,,,,0.0993,,0.0993
Mercury & compounds,1.12,,1.12,0.01504,,1.13504
Methanol,18983.88,,18983.88,,,18983.88
Nickel & compounds,,,,0.14894,,0.14894
Oxides of Nitrogen,1080240.27,34161.38,1046078.89,,,1080240.27
Particulate Matter 10.0 um,37612.7,10563.16,27049.54,,,37612.7
Particulate Matter 2.5 um,37051.93,10054.6,26997.33,,,37051.93
Phenol,56.68,54.15,2.53,0.00334,,56.68334
Polychlorinated dioxins and furans (TEQ),1.2E-5,,1.2E-5,,,1.2E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),3.2,1.63,1.57,0.00239,,3.20239
Sulfur dioxide,966.09,84.78,881.31,,,966.09
Toluene (methylbenzene),7408.09,2399.9,5008.19,0.15685,,7408.24685
Total Volatile Organic Compounds,788194.61,71598.73,716595.88,,,788194.61
Xylenes (individual or mixed isomers),3531.35,2544.9,986.45,0.12598,,3531.47598
