Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,1.04,1.04,,,,1.04
Benzene,615786.0,1886.0,613900.0,0.0035,0.0472,615786.0507
Beryllium & compounds,0.05,0.05,,,,0.05
Cadmium & compounds,0.06,0.06,,,0.02541,0.08541
Carbon monoxide,1156380.0,16380.0,1140000.0,,,1156380.0
Chromium (III) compounds,12.16,12.16,,,,12.16
Copper & compounds,5.21,5.21,,,0.09779,5.30779
Cumene (1-methylethylbenzene),120.1,120.1,,0.0748,0.02098,120.19578
Cyclohexane,147988.0,3888.0,144100.0,,0.3986,147988.3986
Ethylbenzene,49346.2,636.2,48710.0,0.0035,0.08391,49346.28741
"Ethylene glycol (1,2-ethanediol)",,,,,515.2,515.2
Fluoride compounds,34.73,34.73,,,,34.73
Formaldehyde (methyl aldehyde),45440.0,,45440.0,,,45440.0
n-Hexane,294370.0,33370.0,261000.0,0.0035,1.08,294371.0835
Hydrogen sulfide,49390.00383,0.00383,49390.0,,,49390.00383
Lead & compounds,6.08,6.08,,,0.1593,6.2393
Mercury & compounds,0.0108025,0.01043,3.725E-4,,0.00562,0.0164225
Nickel & compounds,8.68,8.68,,,,8.68
Oxides of Nitrogen,7308506.0,7506.0,7301000.0,,,7308506.0
Particulate Matter 10.0 um,152160.0,21860.0,130300.0,,,152160.0
Particulate Matter 2.5 um,131976.0,1976.0,130000.0,,,131976.0
Polychlorinated dioxins and furans (TEQ),4.494E-7,,4.494E-7,,,4.494E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.139497,0.1393,1.97E-4,0.2854,0.1573,0.582197
Sulfur dioxide,86204.1,14.1,86190.0,,,86204.1
Toluene (methylbenzene),1020471.0,2471.0,1018000.0,0.0104,0.215,1020471.2254
Total Volatile Organic Compounds,1.3003E7,363000.0,1.264E7,,,1.3003E7
Xylenes (individual or mixed isomers),286163.0,2463.0,283700.0,0.0348,0.3724,286163.4072
