Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,377.4,260.7,116.7,,,377.4
Carbon monoxide,21120.0,,21120.0,,,21120.0
Cumene (1-methylethylbenzene),0.2348,0.2348,,,,0.2348
Cyclohexane,0.04828,0.04828,,,,0.04828
Ethylbenzene,17.395,12.21,5.185,,,17.395
"Ethylene glycol (1,2-ethanediol)",,,,1584.0,8345.0,9929.0
n-Hexane,2833.7,2012.0,821.7,,,2833.7
Oxides of Nitrogen,24760.0,,24760.0,,,24760.0
Particulate Matter 10.0 um,1356.0,,1356.0,,,1356.0
Particulate Matter 2.5 um,1325.0,,1325.0,,,1325.0
Polycyclic aromatic hydrocarbons (B[a]Peq),6.395E-5,,6.395E-5,,,6.395E-5
Sulfur dioxide,9.028,,9.028,,,9.028
Toluene (methylbenzene),211.81,146.9,64.91,,,211.81
Total Volatile Organic Compounds,93670.0,64420.0,29250.0,,,93670.0
Xylenes (individual or mixed isomers),52.0,35.49,16.51,,,52.0
