Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.039,0.0241,0.0149,,,0.039
Beryllium & compounds,0.0012894,0.0012,8.94E-5,,,0.0012894
Cadmium & compounds,0.08331,0.00141,0.0819,,,0.08331
Carbon monoxide,1702476.0,737.0,1701739.0,,,1702476.0
Chromium (III) compounds,0.385,0.281,0.104,,,0.385
Copper & compounds,0.1833,0.12,0.0633,,,0.1833
Fluoride compounds,0.803,0.803,,,,0.803
Formaldehyde (methyl aldehyde),18004.0,,18004.0,,,18004.0
Lead & compounds,0.1782,0.141,0.0372,,,0.1782
Mercury & compounds,0.019541,2.41E-4,0.0193,,,0.019541
Nickel & compounds,0.357,0.201,0.156,,,0.357
Oxides of Nitrogen,1087562.0,488.0,1087074.0,,,1087562.0
Particulate Matter 10.0 um,49515.0,922.0,48593.0,,,49515.0
Particulate Matter 2.5 um,48736.0,144.0,48592.0,,,48736.0
Polychlorinated dioxins and furans (TEQ),3.68E-7,,3.68E-7,,,3.68E-7
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0708,0.0233,0.0475,,,0.0708
Sulfur dioxide,54113.22,1.22,54112.0,,,54113.22
Total Volatile Organic Compounds,63445.4,61.4,63384.0,,,63445.4
