Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.005,,0.005,,,0.005
Benzene,19.585,17.486,2.099,,,19.585
Beryllium & compounds,0.008,,0.008,,,0.008
Cadmium & compounds,0.005,,0.005,,,0.005
Carbon monoxide,407310.69,,407310.69,,,407310.69
Chromium (VI) compounds,0.005,,0.005,,,0.005
Copper & compounds,0.059,,0.059,,,0.059
Cumene (1-methylethylbenzene),0.207,0.207,,,,0.207
Cyclohexane,15.658,15.658,,,,15.658
Ethylbenzene,2.312,2.312,,,,2.312
n-Hexane,332.378,332.378,,,,332.378
Hydrogen sulfide,0.052,0.052,,,,0.052
Lead & compounds,0.181,,0.181,,,0.181
Mercury & compounds,0.008,,0.008,,,0.008
Nickel & compounds,0.005,,0.005,,,0.005
Oxides of Nitrogen,454876.385,,454876.385,,,454876.385
Particulate Matter 10.0 um,5271.2,,5271.2,,,5271.2
Particulate Matter 2.5 um,5013.531,,5013.531,,,5013.531
Polycyclic aromatic hydrocarbons (B[a]Peq),1.1E-5,,1.1E-5,,,1.1E-5
Sulfur dioxide,200969.31,,200969.31,,,200969.31
Toluene (methylbenzene),17.739,15.174,2.565,,,17.739
Total Volatile Organic Compounds,848970.233,22865.0,826105.233,,,848970.233
Xylenes (individual or mixed isomers),4.974,4.769,0.205,,,4.974
