Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.02,,0.02,,0.4,0.42
Benzene,6144.23,618.77,5525.46,,0.09,6144.32
Beryllium & compounds,1.05E-4,,1.05E-4,,0.04,0.040105
Cadmium & compounds,0.1,,0.1,,0.04,0.14
Carbon monoxide,2916939.0,,2916939.0,,,2916939.0
Chromium (III) compounds,0.12,,0.12,,0.4,0.52
Chromium (VI) compounds,,,,,0.00304,0.00304
Copper & compounds,0.07,,0.07,,1.63,1.7
Ethylbenzene,890.86,48.76,842.1,,0.04,890.9
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,50742.0,7404.0,43338.0,,40.13,50782.13
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,190063.0,,190063.0,,,190063.0
Lead & compounds,0.04,,0.04,,0.4,0.44
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.00227,,0.00227,,0.04,0.04227
Nickel & compounds,0.18,,0.18,,1.23,1.41
Oxides of Nitrogen,1777784.0,,1777784.0,,,1777784.0
Particulate Matter 10.0 um,93545.0,,93545.0,,,93545.0
Particulate Matter 2.5 um,93525.0,,93525.0,,,93525.0
Polychlorinated dioxins and furans (TEQ),8.0E-6,,8.0E-6,,,8.0E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.48,,1.48,,0.001,1.481
Sulfur dioxide,487549.0,,487549.0,,,487549.0
Toluene (methylbenzene),5774.0,430.0,5344.0,,0.09,5774.09
Total Volatile Organic Compounds,3945188.0,153605.0,3791583.0,,,3945188.0
Xylenes (individual or mixed isomers),3394.0,116.0,3278.0,,0.2,3394.2
