Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.00146,0.00146,,,,0.00146
Beryllium & compounds,7.31E-5,7.31E-5,,,,7.31E-5
Cadmium & compounds,8.53E-5,8.53E-5,,,,8.53E-5
Carbon monoxide,312415.0,540.0,311875.0,,,312415.0
Chromium (III) compounds,0.0171,0.0171,,,,0.0171
Copper & compounds,0.00731,0.00731,,,,0.00731
Fluoride compounds,0.0488,0.0488,,,,0.0488
Lead & compounds,0.00853,0.00853,,,,0.00853
Mercury & compounds,1.46E-5,1.46E-5,,,,1.46E-5
Nickel & compounds,0.0122,0.0122,,,,0.0122
Oxides of Nitrogen,772358.0,358.0,772000.0,,,772358.0
Particulate Matter 10.0 um,40995.0,158.0,40837.0,,,40995.0
Particulate Matter 2.5 um,40914.0,106.0,40808.0,,,40914.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0170579,0.017,5.79E-5,,,0.0170579
Sulfur dioxide,10241.29,0.89,10240.4,,,10241.29
Total Volatile Organic Compounds,63554.0,54.0,63500.0,,,63554.0
