Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,3.16,,3.16,,0.034,3.194
Beryllium & compounds,1.55,,1.55,,,1.55
Cadmium & compounds,7.61,,7.61,,0.034,7.644
Carbon monoxide,1530000.0,,1530000.0,,,1530000.0
Chlorine & compounds,,,,,35400.0,35400.0
Chromium (III) compounds,9.26,,9.26,,0.003,9.263
Copper & compounds,7.78,,7.78,,0.003,7.783
Cumene (1-methylethylbenzene),30.5,30.5,,,,30.5
Ethylbenzene,6.87,6.87,,,0.017,6.887
n-Hexane,9.07,9.07,,,,9.07
Hydrogen sulfide,43600.0,,43600.0,,,43600.0
Lead & compounds,7.37,,7.37,,0.305,7.675
Mercury & compounds,2.97,,2.97,,1.7E-6,2.9700017
Nickel & compounds,13.1,,13.1,,0.102,13.202
Oxides of Nitrogen,1300000.0,,1300000.0,,,1300000.0
Particulate Matter 10.0 um,55200.0,,55200.0,,,55200.0
Particulate Matter 2.5 um,52200.0,,52200.0,,,52200.0
Polychlorinated dioxins and furans (TEQ),3.92E-5,,3.92E-5,,,3.92E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),9.51,,9.51,,,9.51
Sulfur dioxide,1820.0,,1820.0,,,1820.0
Toluene (methylbenzene),22.21,17.6,4.61,,0.03,22.24
Total Volatile Organic Compounds,2711390.0,1390.0,2710000.0,,,2711390.0
Xylenes (individual or mixed isomers),21.31,18.1,3.21,,0.02,21.33
